Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Marco to Ginga Ryuu,nan,OVA,2,Aksi,Bundled as a bonus Blu-ray disc with the physical release of the game. ,Marco ,"Bessatsu Olympia Kyklos, Azur Lane, 22/7, Tenchi Muyou! Ryououki 5th Season, Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?, Hataage! Kemono Michi, Nami yo Kiitekure, Nakanohito Genome [Jikkyouchuu]: Knots of Memories, Infinite Dendrogram, Ao no 6-gou, Digimon Adventure: Last Evolution Kizuna, Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿, High School Fleet Movie, Pet, Chihayafuru 3: Ima Hitotabi no, Assault Lily: Bouquet"
"Suzumi Hiyori no ""LIP×LIP"" Shuzai Report!",nan,OVA,1,Idola (Pria),"An animated short bundled with first limited edition of HoneyWorks fifth studio album ""Sukisugite Yabai. ~Kokuhaku Jikkou Iinkai Character Song Collection~"".",,"Kumichou Musume to Sewagakari Picture Drama, Mofu☆Mofu OVA, Bokura no Yoake, Xin Shen Bang: Yang Jian, Haikyuu!! Final, 20-pun de Oitsukeru: Shingeki no Kyojin, Psycho-Pass Movie: Providence, Lovesky Sagashite..., Onna no Sono no Hoshi, Fei Ren Zai 2nd Season, Futsal Boys!!!!! Short Anime, Never Lose, My Rule, Tsurune: Tsunagari no Issha, Ousama Ranking: Yuuki no Takarabako, Mix: Meisei Story Season 2, Nijiyon Animation"
Ojamajo Doremi: Honobono Gekijou,nan,OVA,5,Komedi,"This series features an original character, Ayumi, who appears in each episode, who will share deep interactions with Doremi and her friends, leading to heartwarming moments that are a familiar theme in the Ojamajo Doremi series.

Ojamajo Doremi: Heartwarming Theater is a five episode Flash animation spin-off series produced for the Ojamajo Doremi 20th Anniversary Thanks Festival crowdfunding campaign in 2020. The story is based off Ojamajo Doremi Story Picture Book: The Best Present. This mini-series was exclusively released to Camp-fire crowdfunding backers on Blu-ray, distributed early March 2021. 

(Source: Majopedia)",,"Ojamajo Doremi: Owarai Gekijou, Ame wo Tsugeru Hyouryuu Danchi, Jujutsu Kaisen 0 Movie, Ojamajo Doremi Na-i-sho, Seishun Buta Yarou (Shinsaku Anime), Super Dragon Ball Heroes, JoJo no Kimyou na Bouken Part 6: Stone Ocean, , Kaguya-sama wa Kokurasetai: Ultra Romantic, Paripi Koumei, Soredemo Ayumu wa Yosetekuru, Do It Yourself!!, , Boku no Sensou, Cyberpunk: Edgerunners, Higurashi no Naku Koro ni Gou"
Boku no Hero Academia 4th Season,Musim gugur 2019,TV,25,"Aksi, Sekolah, Shounen","After successfully passing his Provisional Hero License exam, Izuku ""Deku"" Midoriya seeks out an extracurricular internship with a professional hero agency. At the recommendation of his mentor All Might, Midoriya lands a position under All Might's former sidekick, Sir Nighteye, now a famous hero in his own right.

As Midoriya's classmates further their own abilities through various internships, up-and-coming villain Kai Chisaki utilizes his terrifying powers to gather favor in the criminal underworld. Known by the moniker Overhaul, Chisaki's ambitions collide with the League of Villains and its leader, Tomura Shigaraki.

Through his work with Sir Nighteye, Midoriya discovers Chisaki's crime syndicate and the villain's hostile relationship with a mysterious young girl named Eri. Fearing for the child's safety, Midoriya and his upperclassman Mirio Toogata must work together to put an end to Chisaki's reign of terror.

[Written by MAL Rewrite]","Midoriya, Izuku; Todoroki, Shouto; Bakugou, Katsuki; All Might; Aizawa, Shouta; Kirishima, Eijirou; Uraraka, Ochako; Toga, Himiko; Asui, Tsuyu; Dabi","Black Clover, Dragon Ball Super, One Piece, Boruto: Naruto Next Generations, One Punch Man, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II, One Punch Man 2nd Season, Naruto: Shippuuden, Super Dragon Ball Heroes, To Be Hero, Jujutsu Kaisen, Hunter x Hunter (2011), Tu Bian Ying Xiong Leaf, Nanatsu no Taizai: Kamigami no Gekirin"
Beastars,Musim gugur 2019,TV,12,"Drama, Antropomorfik, Shounen","In a civilized society of anthropomorphic animals, an uneasy tension exists between carnivores and herbivores. At Cherryton Academy, this mutual distrust peaks after a predation incident results in the death of Tem, an alpaca in the school's drama club. Tem's friend Legoshi, a grey wolf in the stage crew, has been an object of fear and suspicion for his whole life. In the immediate aftermath of the tragedy, he continues to lay low and hide his menacing traits, much to the disapproval of Louis, a red deer and the domineering star actor of the drama club.

When Louis sneaks into the auditorium to train Tem's replacement for an upcoming play, he assigns Legoshi to lookout duty. That very night, Legoshi has a fateful encounter with Haru, a white dwarf rabbit scorned by her peers. His growing feelings for Haru, complicated by his predatory instincts, force him to confront his own true nature, the circumstances surrounding the death of his friend, and the undercurrent of violence plaguing the world around him.

[Written by MAL Rewrite]",Legoshi; Louis; Haru; Gouhin ; Jack; Juno; Legom; Bill; Dom; Collot,"BNA, Odd Taxi, Houseki no Kuni, Arashi no Yoru ni, Dorohedoro, Aggressive Retsuko (ONA), Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku, Murenase! Seton Gakuen, Shinsekai yori, Koe no Katachi, There She Is!!, Africa no Salaryman (TV), Domestic na Kanojo, Tokyo Ghoul, Mousou Dairinin, Mahoutsukai no Yome, Vampire in the Garden, Pussycat, Wolf's Rain, Chirin no Suzu, Ookami Kodomo no Ame to Yuki"
Sword Art Online: Alicization - War of Underworld,Musim gugur 2019,TV,12,"Aksi, Permainan Video","Despite the defeat of Quinella—the pontifex of the Axiom Church—things have not seemed to calm down yet. Upon contacting the real world, Kazuto ""Kirito"" Kirigaya finds out that the Ocean Turtle—a mega-float controlled by Rath—was raided. Due to a sudden short-circuit caused by the raiders, Kirito's fluctlight is damaged, leaving him comatose. Feeling insecure about the people at the Axiom Church, Alice brings the unconscious Kirito back to their hometown—Rulid Village, disregarding her banishment due to an unabsolved crime. Now, Alice is living an ordinary and peaceful life close by the village, wishing for Kirito to wake up.

However, tragedy strikes when Alice notices that the Dark Territory has already started to invade the Human Empire. Reassuming her previous alias, Alice Synthesis Thirty, she promises to defeat the Dark Territory in order to defend the world that Kirito and Eugeo worked so hard to protect.

[Written by MAL Rewrite]","Kirigaya, Kazuto; Yuuki, Asuna; Zuberg, Alice; Asada, Shino; Eugeo; Yui; Kirigaya, Suguha; Tsuboi, Ryoutarou; Ayano, Keiko; Shinozaki, Rika","Grancrest Senki, Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2, Tensei shitara Slime Datta Ken 2nd Season, Overlord II, Overlord III, Ginga Eiyuu Densetsu, .hack//Quantum, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III, Quanzhi Gaoshou Specials, 5-toubun no Hanayome, Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!, , Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season, Sword Art Online Movie: Ordinal Scale - Sword Art Offline, Kimetsu no Yaiba, Arifureta Shokugyou de Sekai Saikyou"
Nanatsu no Taizai: Kamigami no Gekirin,Musim gugur 2019,TV,24,"Aksi, Shounen","After saving the Kingdom of Liones from the 10 Commandments, Meliodas and the Seven Deadly Sins are enjoying their time off. However, things aren't as peaceful as they seem, as the Sins are put through various trials to become strong enough to defeat the 10 Commandments and to overcome their past trauma.

With help from past figures, the Sins are tasked with defeating the 10 Commandments and putting an end to their evil plans that began ten thousand years ago. The Sins begin to uncover the truth about each other, as well as those who stood before them. With this knowledge in hand, the battle against the 10 Commandments has only just begun.

Nanatsu no Taizai: Kamigami no Gekirin continues to follow the Seven Deadly Sins and those that they meet on their journey. Through their adventures, they realize that their actions have had greater consequences on the present than they could have ever expected.

[Written by MAL Rewrite]","Ban; Meliodas; Escanor; King; Hawk; Gowther; Diane; Liones, Elizabeth; Merlin; Zeldris","Highlander: The Search for Vengeance, Infinite Dendrogram, Fairy Gone Part 2, Boku no Hero Academia, Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru, Mairimashita! Iruma-kun, Darwin's Game, Boku no Hero Academia 3rd Season, Dragon Ball Super, Boku no Hero Academia the Movie 1: Futari no Hero, Magi: Sinbad no Bouken (TV), Boku no Hero Academia the Movie 2: Heroes:Rising, Psycho-Pass 3, Overlord III, Kimetsu no Yaiba, Kakegurui"
Shokugeki no Souma: Shin no Sara,Musim gugur 2019,TV,12,"Gourmet, Sekolah, Shounen","At Tootsuki Culinary Academy, a heated eight-on-eight Shokugeki known as the Régiment de Cuisine rages on between Central and the rebel forces led by Souma Yukihira and Erina Nakiri. Though they won a stunning perfect victory in the first bout, the rebels face an uphill battle ahead, as they must now face off against the rest of the Elite Ten Council. With the future of Tootsuki at stake, Souma and Erina must push far beyond the limits of their abilities, using everything they learned from their mentors and ultimately drawing from their experiences cooking together as friends.

[Written by MAL Rewrite]","Yukihira, Souma; Nakiri, Erina; Tadokoro, Megumi; Nakiri, Alice; Kobayashi, Rindou; Isshiki, Satoshi; Kurokiba, Ryou; Mito, Ikumi; Yukihira, Jouichirou; Aldini, Takumi","Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II, Haikyuu!! Riku vs. Kuu, Sword Art Online: Alicization - War of Underworld, Domestic na Kanojo, Kono Oto Tomare! Part 2, Sword Art Online Alternative: Gun Gale Online, Mob Psycho 100 II, Sword Art Online: Alicization - War of Underworld 2nd Season, Shokugeki no Souma OVA, Beastars, Kenja no Mago, Mairimashita! Iruma-kun, Fairy Tail: Final Series, Fairy Gone Part 2, Dr. Stone, Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu"
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,Musim gugur 2019,TV,12,"Aksi, Isekai","There is a popular saying: ""you can never be too careful."" It is very important to prepare for every situation you may face, even if it seems like an unnecessary waste of time. Also, in games like RPGs, it is good to exceed the level of your enemies to achieve total victory.

These words describe Seiya Ryuuguuin a little too perfectly. After being summoned by the goddess Ristarte to save the world of Gaeabrande from destruction, the hero prepares himself for his noble journey. While this might be normal, he spends a very long time training himself, despite having overpowered stats. He fights weak enemies using his strongest skills and buys excessive amounts of supplies and potions—all to stay safe.

While his attitude may be a bit annoying, it might just be the saving grace of Gaeabrande, especially considering that it is a world where the forces of evil dominate each and every expectation.

[Written by MAL Rewrite]","Ryuuguuin, Seiya; Ristarte; Adenela; Valkyrie; Ariadoa; Machina, Chaos; Elulu; Mitis; Cerseus; Mash","Kono Subarashii Sekai ni Shukufuku wo!, One Punch Man, Goblin Slayer, Tate no Yuusha no Nariagari, Hataage! Kemono Michi, Arifureta Shokugyou de Sekai Saikyou, Fantasy Bishoujo Juniku Ojisan to, Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu., Overlord, Kill la Kill, Ixion Saga DT, Dragon, Ie wo Kau., Grisaia no Kajitsu, No Game No Life, Full Metal Panic? Fumoffu, Hataraku Maou-sama!, Golden Boy, Noragami, Kaze no Stigma, Sakamoto Desu ga?, Sword Art Online"
Ore wo Suki nano wa Omae dake ka yo,Musim gugur 2019,TV,12,"Komedi, Harem","Amatsuyu ""Jouro"" Kisaragi is a completely average second-year high school student who has two dates over one weekend⁠—with the student council president Sakura ""Cosmos"" Akino on Saturday, then with his childhood friend Aoi ""Himawari"" Hinata on Sunday. Sadly for Jouro, both girls proclaim their love for his best friend Taiyou ""Sun-chan"" Ooga, the ace of the baseball team. Accepting each of their requests for advice and guidance, he is now responsible for helping the two girls win the heart of the same guy.

Unbeknownst to his friends, Jouro's friendly and obtuse image is all but a ruse designed to cast himself as the clueless protagonist of a textbook romantic comedy. A schemer under his cheery facade, he makes the best of this unexpected turn of events with a new plan: get Sun-chan to fall for either Cosmos or Himawari and take the other as his own prize. But Jouro's last-ditch effort is threatened by the gloomy, four-eyed Sumireko ""Pansy"" Sanshokuin, who surprises Jouro with not only her knowledge of his secret personality but also a confession to the true self he hid for all this time.

Stuck in this hilariously messy situation, each of the five students must navigate countless lies, traps, and misunderstandings to come out on top.

[Written by MAL Rewrite]","Sanshokuin, Sumireko; Kisaragi, Amatsuyu; Akino, Sakura; Hinata, Aoi; Mayama, Asaka; Hanetachi, Hina; Youki, Chiharu; Ooga, Taiyou; Kamata, Kimie; Yamada, Itsuki","Ore no Kanojo to Osananajimi ga Shuraba Sugiru, Osananajimi ga Zettai ni Makenai Love Comedy, Yahari Ore no Seishun Love Comedy wa Machigatteiru., Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?, 5-toubun no Hanayome, Gamers!, Jaku-Chara Tomozaki-kun, Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru, Chuubyou Gekihatsu Boy, Bokutachi wa Benkyou ga Dekinai, Saenai Heroine no Sodatekata, Love Hina, School Rumble, Chuunibyou demo Koi ga Shitai!, Masamune-kun no Revenge, Ranma ½, Karakai Jouzu no Takagi-san, Kanojo, Okarishimasu, Horimiya, Sakura-sou no Pet na Kanojo, Nisekoi"
Mairimashita! Iruma-kun,Musim gugur 2019,TV,23,"Komedi, Isekai, Shounen","Fourteen-year-old Iruma Suzuki has been unfortunate all his life, having to work to earn money for his irresponsible parents despite being underage. One day, he finds out that his parents sold him to the demon Sullivan. However, Iruma's worries about what will become of him are soon relieved, for Sullivan merely wants a grandchild, pampering him and making him attend the demon school Babyls. 

At first, Iruma tries to keep a low profile in fear of his peers discovering that he is human. Unfortunately, this ends up being more difficult than he expected. It turns out that Sullivan himself is the chairman of the school, and everyone expects him to become the next Demon King!

Iruma immediately finds himself in an outrageous situation when he has to chant a forbidden spell in front of the entire school. With this, Iruma instantly earns a reputation he does not want. Even so, he is bound to be roped into more bizarre circumstances.

[Written by MAL Rewrite]","Azazel, Amelie; Suzuki, Iruma; Valac, Clara; Asmodeus, Alice; Naberius, Kalego; Opera; Sullivan; Ami, Kirio; Crocell, Kerori; Shax, Reed","Boku no Hero Academia, Maou-jou de Oyasumi, Rosario to Vampire, Saiki Kusuo no Ψ-nan, Hayate no Gotoku!, Jitsu wa Watashi wa, Little Witch Academia (TV), Nanbaka, Ao no Exorcist, Kyuuketsuki Sugu Shinu, Katekyo Hitman Reborn!, Tensei shitara Slime Datta Ken, Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Beelzebub, Kyoukai no Rinne, Tsuki ga Michibiku Isekai Douchuu, Youkai Watch, Makai Ouji: Devils and Realist, Boku no Hero Academia 2nd Season, Zero no Tsukaima, 100% Pascal-sensei (TV)"
Assassins Pride,Musim gugur 2019,TV,12,Fantasi,"On the brink of extinction, mankind has downsized and now solely resides in the city-state of Flandore, living in cities encased by glass domes. Beyond the domes exist vicious lycanthropes who thrive in the darkness; among the citizens inside, a clear distinction between the nobility and commoners is in place. The blood of nobles enables them to utilize mana, granting them abilities that exceed human limits and greatly assist them in defeating lycanthropes.

Already 13 years of age, noble Melida Angel has yet to manifest her mana, and attends an elite academy where she is mistreated for her lack thereof. In order to help her, Kufa Vampir is ordered by the Angel family to become Melida's tutor. While Kufa seems to be a mere mentor, an ulterior motive lurks behind his job—he is to assassinate her if he confirms that she does not possess mana.

Kufa's investigation eventually leads him to determine he must eliminate Melida. However, Kufa is struck by her unwavering determination, spirit, and belief in herself when he witnesses her in a fight, choosing instead to offer a way she can manifest her magic. As Melida learns to use mana with the help of Kufa's teachings, Kufa forsakes his mission and jeopardizes everything to keep his discovery of Melida unknown to the Angel family and his own guild. However, both Kufa and Melida will soon realize that hiding their secret will not be the only challenge they face, as unforeseen trouble is waiting just around the corner. 

[Written by MAL Rewrite]","Vampir, Kufa; Angel, Melida; Pricket, Rosetti; Angel, Elise; La Mor, Mule; Shicksal, Salacha; Madia, Black; Gin, Williams; Zwitoque, Shenfa; Martillo, Nerva","Rokudenashi Majutsu Koushi to Akashic Records, Absolute Duo, Sword Art Online, Kuusen Madoushi Kouhosei no Kyoukan, Kimetsu no Yaiba, Kuroshitsuji, Black Bullet, Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note, Mahouka Koukou no Rettousei, Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou, Chuubyou Gekihatsu Boy, Hataage! Kemono Michi, Maou-sama, Retry!, Nanatsu no Taizai: Kamigami no Gekirin, Kabukichou Sherlock, Death March kara Hajimaru Isekai Kyousoukyoku"
Bokutachi wa Benkyou ga Dekinai!,Musim gugur 2019,TV,13,"Komedi, Harem, Shounen","Under Nariyuki Yuiga's devoted tutelage, his classmates Rizu Ogata, Fumino Furuhashi, and Uruka Takemoto are finally pulling average test scores on their worst subjects. But time is ticking, and there is still a long way to go before the three geniuses of Ichinose Academy are ready for their upcoming university exams. Meanwhile, the girls still struggle to balance the pursuit of their dreams with their growing affections for their unsuspecting tutor.

Joining them are Mafuyu Kirisu, a teacher with strong views about education and talent because of her past as a rising figure skater, and Asumi Kominami, a graduate from their school aiming to attend a national medical university. With these two additions, the group of six is livelier than ever before. Completely caught up in hilarious antics with his new friends, Yuiga finds that his last year of high school now includes a lot more than just going to class and studying.

[Written by MAL Rewrite]","Furuhashi, Fumino; Kirisu, Mafuyu; Takemoto, Uruka; Ogata, Rizu; Kominami, Asumi; Yuiga, Nariyuki; Sekijou, Sawako; Furuhashi, Shizuru; Yuiga, Mizuki; Kashima","5-toubun no Hanayome, 5-toubun no Hanayome ∬, Nisekoi, Chobits, Nisekoi:, Karakai Jouzu no Takagi-san, Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu, Shokugeki no Souma: Gou no Sara, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana, Isekai wa Smartphone to Tomo ni., Mairimashita! Iruma-kun, Assassins Pride, Plunderer, High Score Girl II, Kono Yo no Hate de Koi wo Utau Shoujo YU-NO, Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta..."
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Musim gugur 2019,TV,14,"Fantasi, Isekai","Urano Motosu loves books and has an endless desire to read literature, no matter the subject. She almost fulfills her dream job of becoming a librarian before her life is ended in an accident. As she draws her last breath, she wishes to be able to read more books in her next life.

As if fate was listening to her prayer, she wakes up reincarnated as Myne—a frail five-year-old girl living in a medieval era. What immediately comes to her mind is her passion. She tries to find something to read, only to become frustrated by the lack of books at her disposal.  

Without the printing press, books have to be written and copied by hand, making them very expensive; as such, only a few nobles can afford them—but this won't stop Myne. She will prove that her will to read is unbreakable, and if there are no books around, she will make them herself! 

[Written by MAL Rewrite]",Myne; Lutz; Ferdinand; Benno; Tuuli; Gunther; Frida; Otto; Eva; Ralph,"Dr. Stone, Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta..., Mushoku Tensei: Isekai Ittara Honki Dasu, Ookami to Koushinryou, Tensei shitara Slime Datta Ken, Isekai Yakkyoku, Seijo no Maryoku wa Bannou Desu, Kemono no Souja Erin, Kami-tachi ni Hirowareta Otoko, Arte, Somali to Mori no Kamisama, Knight's & Magic, Maou-jou de Oyasumi, Youjo Senki, Genjitsu Shugi Yuusha no Oukoku Saikenki, Akagami no Shirayuki-hime, Shikkakumon no Saikyou Kenja, Shinsekai yori, Ookami Kodomo no Ame to Yuki, Wo Shi Da Shenxian, Meng Qi Shi Shen"
Fate/Grand Order: Zettai Majuu Sensen Babylonia,Musim gugur 2019,TV,21,"Aksi, Isekai","A.D. 2016, the foundations of humanity have been incinerated by the Mage King Solomon. Chaldea, a secret mages organization with the mission to preserve humanity's future, foresaw mankind's extinction in 2015. Thus commenced the operation to repair the Singularities in history caused by Holy Grails dispersed across time and space—Operation Grand Order. 

Using the Rayshift time travel technology, Chaldea's last master Ritsuka Fujimaru and his demi-servant Mash Kyrielight have traveled to and resolved six Singularities. Now, they depart for their most dangerous destination yet: a civilization in the Age of Gods, B.C. 2655 Mesopotamia. Ritsuka and Mash soon discover that Demonic Beasts roam the land, attacking people and towns. Amidst chaos and terror lies humanity's last defense—Uruk, a fortress city that acts as the frontline for the battle against the beasts. The battlefront is commanded by none other than King Gilgamesh, the King of Heroes, who sought aid from Heroic Spirits and took on the role of a mage to protect his city. 

Along with Gilgamesh and the summoned servants, Ritsuka and Mash must protect Uruk against the magical beasts' onslaught and defeat the Three Goddess Alliance who aims to eradicate humankind; all the while, a greater threat looms over Uruk, preparing for its awakening.

[Written by MAL Rewrite]","Gilgamesh; Kyrielight, Mash; Ishtar; Merlin; Fujimaru, Ritsuka; Ana; Ereshkigal; Enkidu; Ushiwakamaru; Quetzalcoatl","Fate/Grand Order: First Order, Tate no Yuusha no Nariagari, Neon Genesis Evangelion, Katsugeki/Touken Ranbu, Magi: The Labyrinth of Magic, Shingeki no Kyojin, Magia Record: Mahou Shoujo Madoka☆Magica Gaiden, Fate/stay night: Unlimited Blade Works 2nd Season, Murenase! Seton Gakuen, Fate/kaleid liner Prisma☆Illya 3rei!! Specials, Dorohedoro, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana, Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru, Fate/stay night: Unlimited Blade Works Prologue, Runway de Waratte, Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon"
Psycho-Pass 3,Musim gugur 2019,TV,8,"Aksi, Pemeran Dewasa","Thanks to the Sibyl System, the mental states of society can now be measured on a numerical scale. Using these ""crime coefficients,"" a culprit can be apprehended before they ever commit a crime. But is it a perfect system? For Inspectors Kei Mikhail Ignatov and Arata Shindou, that remains to be seen, as their career with the Public Safety Bureau's Crime Investigation Department has only just begun. 

Shindou and Ignatov are assigned to investigate the crash of a ship carrying immigrants, but they begin to suspect that it was no mere accident. Meanwhile, a mysterious group called Bifrost is observing them from the shadows, but they aren't the only ones who have taken an interest in the two new Inspectors...

[Written by MAL Rewrite]
","Shindou, Arata; Ignatov, Kei Mikhail; Kougami, Shinya; Tsunemori, Akane; Ginoza, Nobuchika; Kunizuka, Yayoi; Karanomori, Shion; Dominator; Hinakawa, Shou; Shimotsuki, Mika","Golden Kamuy, Karakai Jouzu no Takagi-san 2, Babylon, Pet, Shokugeki no Souma: Gou no Sara, Black Fox, Kimetsu no Yaiba, Bokutachi wa Benkyou ga Dekinai!, Psycho-Pass 3: First Inspector, Ore wo Suki nano wa Omae dake ka yo, Boku no Hero Academia the Movie 2: Heroes:Rising, Psycho-Pass: Sinners of the System Case.2 - First Guardian, Chihayafuru 3, Kono Oto Tomare! Part 2, Psycho-Pass Movie, Houkago Saikoro Club"
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,Musim gugur 2019,TV,12,"Fantasi, Isekai","Seven Japanese high school students enjoy international renown for their remarkable talents. One day, these friends survive a plane crash only to find themselves in the medieval fantasy world of Freyjagard, where two human races live side by side in a feudal society: the byuma, who have animal features and formidable strength, and the hyuma, who have a small chance of magical aptitude. After being rescued by the byuma Winona and her adopted elven daughter Lyrule, the group pledges to use their advanced skills and knowledge to pay back the people of Elm Village for their hospitality and find a way to return back home.

Tsukasa Mikogami, the prime minister of Japan, acts as the leader of these young geniuses and organizes their efforts to intervene in Freyjagard and gather the information and resources necessary for achieving their goals. Believing that there is a connection between their current situation and an ancient legend about seven heroes from another world who defeated an evil dragon, Tsukasa directs the others to learn about the culture around them and search for any clues leading them back to Earth. But he also gives another instruction: to take it nice and easy, lest they ruin this world by giving it their all.

[Written by MAL Rewrite]","Oohoshi, Ringo; Sarutobi, Shinobu; Mikogami, Tsukasa; Kanzaki, Keine; Lyrule; Sanada, Masato; Ichijou, Aoi; Prince Akatsuki; Roux; de LeBlanc, Jeanne","Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?, Genjitsu Shugi Yuusha no Oukoku Saikenki, Dr. Stone, Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation, Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen, Utawarerumono, Gate: Jieitai Kanochi nite, Kaku Tatakaeri, Wo Shi Da Shenxian, Hataage! Kemono Michi, Arifureta Shokugyou de Sekai Saikyou, Wan Jie Shen Zhu, Drifters, Maou-sama, Retry!, Tensei shitara Slime Datta Ken, Reikenzan: Hoshikuzu-tachi no Utage, Kenja no Mago, Princess Connect! Re:Dive, Rikei ga Koi ni Ochita no de Shoumei shitemita., Babylon, Nobunaga-sensei no Osanazuma, Conception, Bokutachi wa Benkyou ga Dekinai!, Knight's & Magic"
Ahiru no Sora,Musim gugur 2019,TV,50,"Olahraga, Sekolah, Shounen","Lacking what is considered the most important asset in basketball, Sora Kurumatani has struggled with his short height since the inception of his love for the game. Despite missing this beneficial aspect, Sora's unwavering drive never allowed his small stature to dictate his ability to play, believing strongly in trying his hardest and persistently practicing to prove his capability.

In hopes of satisfying his mother's wishes, Sora enters Kuzuryuu High School to become a member of the basketball club and compete wholeheartedly in tournaments. However, Sora is disappointed to find out that the boy's basketball team is nothing but a retreat for punks who have no interest in the sport. Sora also comes to learn that brothers Chiaki and Momoharu Hanazono—whom he becomes acquainted with—have also lost their once spirited motivation to play. 

Determined to revive the basketball team, Sora challenges the boys to a match against him, where his quick feet and swift movements overwhelm the group. Gradually affected by Sora's impressive skills, sheer effort, and tireless devotion to basketball, the boys unexpectedly find their burnt-out passion for the game rekindling once again.

[Written by MAL Rewrite]","Natsume, Kenji; Hanazono, Chiaki; Kurumatani, Sora; Hanazono, Momoharu; Shigeyoshi, Kaname; Yabuuchi, Madoka; Kurumatani, Tomohisa; Takahashi, Katsumi; Nanao, Nao; Fuwa, Hyou","Haikyuu!!, Kuroko no Basket, Slam Dunk, Hinomaruzumou, Kaze ga Tsuyoku Fuiteiru, All Out!!, Major S3, Captain Tsubasa (2018), Hoshiai no Sora, Uchuu Kyoudai, Naruto, Dear Boys, Shakunetsu Kabaddi, Hanebado!, Haikyuu!! To the Top, Ballroom e Youkoso, Vinland Saga, Sword Art Online: Alicization - War of Underworld, Radiant 2nd Season, Shokugeki no Souma: Shin no Sara, Fruits Basket 2nd Season, number24, Kyokou Suiri, Kono Oto Tomare!"
